epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3337.77,1.06257,1.15474,1.31863,0.59368,0.47938,0.50792,0.32252,1.57634,1.65173,1.64908,0.000614,0.000614,0.000614
44,3411.58,1.06934,1.14917,1.32495,0.60898,0.47835,0.51259,0.32091,1.60066,1.60394,1.67453,0.000581,0.000581,0.000581
45,3485.59,1.03471,1.10459,1.2966,0.5821,0.48622,0.51149,0.32202,1.58031,1.62781,1.64356,0.000548,0.000548,0.000548
46,3559.17,1.04099,1.11488,1.30471,0.60178,0.47696,0.50731,0.32361,1.56042,1.63806,1.63933,0.000515,0.000515,0.000515
47,3633.03,1.03313,1.09375,1.30043,0.63252,0.46305,0.5112,0.32307,1.5941,1.65527,1.66789,0.000482,0.000482,0.000482
48,3707.25,1.0171,1.08872,1.29084,0.62734,0.47113,0.51221,0.32175,1.61031,1.6773,1.65548,0.000449,0.000449,0.000449
49,3782.42,1.01124,1.05721,1.27605,0.61949,0.48031,0.52157,0.32851,1.60115,1.63377,1.66414,0.000416,0.000416,0.000416
50,3859.73,0.99278,1.03547,1.27708,0.62848,0.46522,0.51486,0.32884,1.57713,1.6602,1.66585,0.000383,0.000383,0.000383
51,3939.89,1.05523,1.07089,1.31171,0.64666,0.46233,0.50986,0.32573,1.60905,1.62974,1.67688,0.00035,0.00035,0.00035
52,4015.33,1.0265,1.01063,1.2859,0.65671,0.45997,0.51754,0.33138,1.59231,1.62963,1.66646,0.000317,0.000317,0.000317
53,4086.88,1.01378,0.9848,1.28051,0.65775,0.46588,0.52154,0.33634,1.59554,1.63607,1.66804,0.000284,0.000284,0.000284
54,4159.17,1.00424,0.95998,1.26791,0.62305,0.46982,0.51208,0.32881,1.61665,1.6395,1.69281,0.000251,0.000251,0.000251
55,4234.56,0.98636,0.92916,1.25255,0.62229,0.48756,0.5184,0.33407,1.6063,1.64171,1.67341,0.000218,0.000218,0.000218
56,4311.52,0.9766,0.9157,1.25061,0.60459,0.49213,0.52098,0.33282,1.58977,1.66943,1.66834,0.000185,0.000185,0.000185
57,4391.15,0.96087,0.89099,1.23877,0.61164,0.5,0.52164,0.33873,1.59646,1.63357,1.6786,0.000152,0.000152,0.000152
58,4469.39,0.94391,0.86622,1.22374,0.63943,0.47507,0.51842,0.33505,1.5957,1.63018,1.66908,0.000119,0.000119,0.000119
59,4543.98,0.94565,0.86105,1.22085,0.64453,0.47113,0.5184,0.33574,1.58836,1.62863,1.66592,8.6e-05,8.6e-05,8.6e-05
60,4617.78,0.93904,0.84386,1.22099,0.63128,0.47375,0.51265,0.33195,1.60208,1.65855,1.68296,5.3e-05,5.3e-05,5.3e-05
